[32m[I 2022-03-30 03:46:11,801][0m A new study created in memory with name: no-name-2e0162db-ca8b-4411-9a88-0839e4128bad[0m
[32m[I 2022-03-30 03:48:31,553][0m Trial 0 finished with value: 0.9624332642698387 and parameters: {'reg_alpha': 3.5329327442301306, 'reg_lambda': 6.70471230009565, 'subsample': 0.7074609922997644, 'colsample_bytree': 0.9319479688035828, 'max_depth': 4, 'min_child_weight': 80, 'learning_rate': 0.3792877409641593, 'gamma': 8.231020113139264, 'grow_policy': 'lossguide', 'max_delta_step': 1.2185177456564977, 'scale_pos_weight': 4.666051628293129}. Best is trial 0 with value: 0.9624332642698387.[0m
[32m[I 2022-03-30 03:50:01,222][0m Trial 1 finished with value: 0.9604870554504749 and parameters: {'reg_alpha': 1.5014109752381544, 'reg_lambda': 1.1465599676748106, 'subsample': 0.39228219433885847, 'colsample_bytree': 0.48968081621451887, 'max_depth': 12, 'min_child_weight': 84, 'learning_rate': 0.22103466870723565, 'gamma': 2.969951699522706, 'grow_policy': 'depthwise', 'max_delta_step': 3.540858386921091, 'scale_pos_weight': 3.422978538956498}. Best is trial 0 with value: 0.9624332642698387.[0m
[32m[I 2022-03-30 03:52:50,026][0m Trial 2 finished with value: 0.961361719793281 and parameters: {'reg_alpha': 0.5355766657275185, 'reg_lambda': 7.1386788831282635, 'subsample': 0.7905724989807876, 'colsample_bytree': 0.8299948002762089, 'max_depth': 7, 'min_child_weight': 37, 'learning_rate': 0.5437422683516528, 'gamma': 7.401019988759451, 'grow_policy': 'lossguide', 'max_delta_step': 4.753618624812637, 'scale_pos_weight': 3.2159850530388057}. Best is trial 0 with value: 0.9624332642698387.[0m
[32m[I 2022-03-30 03:56:19,773][0m Trial 3 finished with value: 0.9681637278793881 and parameters: {'reg_alpha': 2.9385542396301845, 'reg_lambda': 1.7101599421521907, 'subsample': 0.43980824130757, 'colsample_bytree': 0.8797293678552807, 'max_depth': 13, 'min_child_weight': 16, 'learning_rate': 0.17382143765342184, 'gamma': 4.503975504488188, 'grow_policy': 'lossguide', 'max_delta_step': 2.4991620377218404, 'scale_pos_weight': 3.4969861938819946}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 03:57:39,020][0m Trial 4 finished with value: 0.9642974671581626 and parameters: {'reg_alpha': 8.05713933041618, 'reg_lambda': 2.115961842371158, 'subsample': 0.3203056947381754, 'colsample_bytree': 0.4262266298023908, 'max_depth': 13, 'min_child_weight': 99, 'learning_rate': 0.061698656315136935, 'gamma': 1.341379012283953, 'grow_policy': 'lossguide', 'max_delta_step': 1.528490616700533, 'scale_pos_weight': 14.171670734676818}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 03:59:02,722][0m Trial 5 finished with value: 0.9520478069956949 and parameters: {'reg_alpha': 9.137682662767826, 'reg_lambda': 4.925427693217243, 'subsample': 0.23566503806314942, 'colsample_bytree': 0.5839405616706067, 'max_depth': 5, 'min_child_weight': 9, 'learning_rate': 0.500848439980198, 'gamma': 1.4981084177693271, 'grow_policy': 'depthwise', 'max_delta_step': 5.974480299089551, 'scale_pos_weight': 15.198268374813777}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 04:00:05,700][0m Trial 6 finished with value: 0.9552159145487679 and parameters: {'reg_alpha': 1.3198190261686682, 'reg_lambda': 0.09589416129024753, 'subsample': 0.38629331605802464, 'colsample_bytree': 0.2997417153405401, 'max_depth': 10, 'min_child_weight': 74, 'learning_rate': 0.39042316979321756, 'gamma': 2.010678782777855, 'grow_policy': 'depthwise', 'max_delta_step': 8.340254790567155, 'scale_pos_weight': 5.67946513266214}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 04:01:10,349][0m Trial 7 finished with value: 0.9474139315970773 and parameters: {'reg_alpha': 4.605756782181515, 'reg_lambda': 2.8460257262962827, 'subsample': 0.6015790610366037, 'colsample_bytree': 0.4028990995891578, 'max_depth': 13, 'min_child_weight': 94, 'learning_rate': 0.997700595768492, 'gamma': 5.574172167135897, 'grow_policy': 'depthwise', 'max_delta_step': 4.720561110449247, 'scale_pos_weight': 18.900748808080962}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 04:04:35,009][0m Trial 8 finished with value: 0.9546378416416826 and parameters: {'reg_alpha': 4.48063498605363, 'reg_lambda': 3.7179543926316705, 'subsample': 0.4936636827317339, 'colsample_bytree': 0.8343751242224066, 'max_depth': 8, 'min_child_weight': 2, 'learning_rate': 0.712516119859906, 'gamma': 7.289931158160278, 'grow_policy': 'depthwise', 'max_delta_step': 3.269220467269549, 'scale_pos_weight': 5.6369030976962}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 04:05:59,419][0m Trial 9 finished with value: 0.9488642801116366 and parameters: {'reg_alpha': 5.700098363187091, 'reg_lambda': 3.3875140967665374, 'subsample': 0.12126488057171257, 'colsample_bytree': 0.7851667899736318, 'max_depth': 15, 'min_child_weight': 50, 'learning_rate': 0.21122704317893837, 'gamma': 3.3000031865014345, 'grow_policy': 'depthwise', 'max_delta_step': 6.524652790806121, 'scale_pos_weight': 18.320657334941966}. Best is trial 3 with value: 0.9681637278793881.[0m
[32m[I 2022-03-30 04:10:48,701][0m Trial 10 finished with value: 0.9690260100790541 and parameters: {'reg_alpha': 3.7493062251355074, 'reg_lambda': 1.3015448620391055, 'subsample': 0.6272546130984219, 'colsample_bytree': 0.7327489372895104, 'max_depth': 15, 'min_child_weight': 20, 'learning_rate': 0.0135214818814402, 'gamma': 4.778361329672846, 'grow_policy': 'lossguide', 'max_delta_step': 0.8793495912063605, 'scale_pos_weight': 5.925386858636372}. Best is trial 10 with value: 0.9690260100790541.[0m
