,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0,0.9624332642698387,2022-03-30 03:46:11.802710,2022-03-30 03:48:31.552709,0 days 00:02:19.749999,0.9319479688035828,8.231020113139264,lossguide,0.3792877409641593,1.2185177456564977,4,80,3.5329327442301306,6.70471230009565,4.666051628293129,0.7074609922997644,COMPLETE
1,1,0.9604870554504749,2022-03-30 03:48:31.554620,2022-03-30 03:50:01.221747,0 days 00:01:29.667127,0.48968081621451887,2.969951699522706,depthwise,0.22103466870723565,3.540858386921091,12,84,1.5014109752381544,1.1465599676748106,3.422978538956498,0.39228219433885847,COMPLETE
2,2,0.961361719793281,2022-03-30 03:50:01.223688,2022-03-30 03:52:50.025978,0 days 00:02:48.802290,0.8299948002762089,7.401019988759451,lossguide,0.5437422683516528,4.753618624812637,7,37,0.5355766657275185,7.1386788831282635,3.2159850530388057,0.7905724989807876,COMPLETE
3,3,0.9681637278793881,2022-03-30 03:52:50.027801,2022-03-30 03:56:19.773297,0 days 00:03:29.745496,0.8797293678552807,4.503975504488188,lossguide,0.17382143765342184,2.4991620377218404,13,16,2.9385542396301845,1.7101599421521907,3.4969861938819946,0.43980824130757,COMPLETE
4,4,0.9642974671581626,2022-03-30 03:56:19.775006,2022-03-30 03:57:39.019630,0 days 00:01:19.244624,0.4262266298023908,1.341379012283953,lossguide,0.061698656315136935,1.528490616700533,13,99,8.05713933041618,2.115961842371158,14.171670734676818,0.3203056947381754,COMPLETE
5,5,0.9520478069956949,2022-03-30 03:57:39.021476,2022-03-30 03:59:02.721480,0 days 00:01:23.700004,0.5839405616706067,1.4981084177693271,depthwise,0.500848439980198,5.974480299089551,5,9,9.137682662767826,4.925427693217243,15.198268374813777,0.23566503806314942,COMPLETE
6,6,0.9552159145487679,2022-03-30 03:59:02.723220,2022-03-30 04:00:05.699730,0 days 00:01:02.976510,0.2997417153405401,2.010678782777855,depthwise,0.39042316979321756,8.340254790567155,10,74,1.3198190261686682,0.09589416129024753,5.67946513266214,0.38629331605802464,COMPLETE
7,7,0.9474139315970773,2022-03-30 04:00:05.700963,2022-03-30 04:01:10.348405,0 days 00:01:04.647442,0.4028990995891578,5.574172167135897,depthwise,0.997700595768492,4.720561110449247,13,94,4.605756782181515,2.8460257262962827,18.900748808080962,0.6015790610366037,COMPLETE
8,8,0.9546378416416826,2022-03-30 04:01:10.350204,2022-03-30 04:04:35.008447,0 days 00:03:24.658243,0.8343751242224066,7.289931158160278,depthwise,0.712516119859906,3.269220467269549,8,2,4.48063498605363,3.7179543926316705,5.6369030976962,0.4936636827317339,COMPLETE
9,9,0.9488642801116366,2022-03-30 04:04:35.010503,2022-03-30 04:05:59.418878,0 days 00:01:24.408375,0.7851667899736318,3.3000031865014345,depthwise,0.21122704317893837,6.524652790806121,15,50,5.700098363187091,3.3875140967665374,18.320657334941966,0.12126488057171257,COMPLETE
